GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,HTM,VTM,Games Played,Minutes Played,Def. Rebound %,Steal %,Block %,Def. Win Shares,Def. Box +/-,OPPONENT
Shot Chart Detail,0022400162,623,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,4,4,38,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,-4,1,0,MIN,CHA,32,339,11.9,1.0,1.4,0.4,0.0,CHA
Shot Chart Detail,0022400181,631,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,4,1,19,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,1,CHI,MIN,32,339,11.9,1.0,1.4,0.4,0.0,CHI
Shot Chart Detail,0022400181,647,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,4,0,31,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,12,1,1,CHI,MIN,32,339,11.9,1.0,1.4,0.4,0.0,CHI
Shot Chart Detail,0022400318,558,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,4,5,20,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-2,41,1,0,MIN,LAL,32,339,11.9,1.0,1.4,0.4,0.0,LAL
Shot Chart Detail,0022400318,606,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,4,1,17,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,237,27,1,1,MIN,LAL,32,339,11.9,1.0,1.4,0.4,0.0,LAL
Shot Chart Detail,0022400318,610,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,4,0,54,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,16,1,1,MIN,LAL,32,339,11.9,1.0,1.4,0.4,0.0,LAL
Shot Chart Detail,0022400324,534,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,4,6,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,210,156,1,0,LAC,MIN,32,339,11.9,1.0,1.4,0.4,0.0,LAC
Shot Chart Detail,0022400324,605,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,4,1,40,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,9,1,0,LAC,MIN,32,339,11.9,1.0,1.4,0.4,0.0,LAC
Shot Chart Detail,0022400338,689,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,4,2,1,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-42,21,1,0,GSW,MIN,32,339,11.9,1.0,1.4,0.4,0.0,GSW
Shot Chart Detail,0022400367,535,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,4,7,38,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,16,1,1,MIN,NYK,32,339,11.9,1.0,1.4,0.4,0.0,NYK
Shot Chart Detail,0022400367,607,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,4,1,23,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-126,121,1,0,MIN,NYK,32,339,11.9,1.0,1.4,0.4,0.0,NYK
Shot Chart Detail,0022400395,676,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,4,1,3,Made Shot,Running Alley Oop Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,4,1,1,ATL,MIN,32,339,11.9,1.0,1.4,0.4,0.0,ATL
Shot Chart Detail,0022400723,693,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,4,0,44,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,12,55,1,0,MIN,CHI,32,339,11.9,1.0,1.4,0.4,0.0,CHI
Shot Chart Detail,0022400729,267,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,2,6,18,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,2,1,1,MIN,HOU,32,339,11.9,1.0,1.4,0.4,0.0,HOU
Shot Chart Detail,0022400729,290,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,2,4,58,Missed Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,18,1,0,MIN,HOU,32,339,11.9,1.0,1.4,0.4,0.0,HOU
Shot Chart Detail,0022400729,316,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,2,3,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,105,227,1,0,MIN,HOU,32,339,11.9,1.0,1.4,0.4,0.0,HOU
Shot Chart Detail,0022400729,352,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,2,0,15,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,22,1,1,MIN,HOU,32,339,11.9,1.0,1.4,0.4,0.0,HOU
Shot Chart Detail,0022400747,120,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,1,2,41,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-52,133,1,1,MIN,POR,32,339,11.9,1.0,1.4,0.4,0.0,POR
Shot Chart Detail,0022400747,123,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,1,2,6,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-42,37,1,1,MIN,POR,32,339,11.9,1.0,1.4,0.4,0.0,POR
Shot Chart Detail,0022400747,213,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,2,7,56,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-229,39,1,0,MIN,POR,32,339,11.9,1.0,1.4,0.4,0.0,POR
Shot Chart Detail,0022400747,475,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,3,0,52,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,13,1,0,MIN,POR,32,339,11.9,1.0,1.4,0.4,0.0,POR
Shot Chart Detail,0022400755,504,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,3,2,9,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,-9,1,0,CLE,MIN,32,339,11.9,1.0,1.4,0.4,0.0,CLE
Shot Chart Detail,0022400755,673,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,4,4,6,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,8,1,1,CLE,MIN,32,339,11.9,1.0,1.4,0.4,0.0,CLE
Shot Chart Detail,0022400755,707,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,4,1,35,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,72,197,1,0,CLE,MIN,32,339,11.9,1.0,1.4,0.4,0.0,CLE
Shot Chart Detail,0022400755,725,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,4,0,14,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,152,208,1,0,CLE,MIN,32,339,11.9,1.0,1.4,0.4,0.0,CLE
Shot Chart Detail,0022400776,125,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,1,2,0,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,9,1,1,MIN,MIL,32,339,11.9,1.0,1.4,0.4,0.0,MIL
Shot Chart Detail,0022400776,136,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,1,1,14,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,15,1,1,MIN,MIL,32,339,11.9,1.0,1.4,0.4,0.0,MIL
Shot Chart Detail,0022400776,148,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,1,0,6,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,229,50,1,0,MIN,MIL,32,339,11.9,1.0,1.4,0.4,0.0,MIL
Shot Chart Detail,0022400776,205,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,2,8,13,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,3,1,1,MIN,MIL,32,339,11.9,1.0,1.4,0.4,0.0,MIL
Shot Chart Detail,0022400776,388,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,3,5,49,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-40,100,1,1,MIN,MIL,32,339,11.9,1.0,1.4,0.4,0.0,MIL
Shot Chart Detail,0022400776,411,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,3,3,37,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,229,-6,1,0,MIN,MIL,32,339,11.9,1.0,1.4,0.4,0.0,MIL
Shot Chart Detail,0022400776,519,1630545,Terrence Shannon Jr.,1610612750,Minnesota Timberwolves,4,7,27,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-65,152,1,0,MIN,MIL,32,339,11.9,1.0,1.4,0.4,0.0,MIL
